bvid,title,tags,interest,value,ts
BV1tLth6rE1n,他，凭什么成为中华民国的国父？【历史调研室105】,民国、历史、孙中山、政治,5,3,2026/9/8 17:26
BV1NkbP6wEv9,为什么是泰山石敢当,泰山、历史,4,1,2026/9/8 17:26
BV1U23k6cEKD,【提示词全解】多模态反推（TextGenerate）,comfyui、提示词、绘图,4,5,2026/9/8 17:26
BV1JDTC6CEad,A股为何只能做多，不能做空？,股市、A股、历史、政治,5,5,2026/9/8 17:26
BV1iq3Z6pE1z,美日操纵汇率和我们大额存单，目标只有一个,股市、A股、历史、政治,5,3,2026/9/8 17:26
BV13aKnzCEfU,死一样的哈过，死一样的抽过2000w播放纪念版,音乐、鬼畜、哈基米,5,3,2026/9/8 17:26
BV1notqeqEgi,五脏排浊呼吸法详解,道家、养生、修行,4,3,2026/9/8 17:26
BV1Eb6CB9Ehu,"《心经》260字逐句詳解，帶你從掛礙到涅槃,破解宇宙與人生的底層代碼。",佛经、开悟、人生、觉醒、哲学,5,5,2026/9/8 17:26
BV1ZJwbezEsY,全缝完了！魂味太冲！吐槽被魂5取消的魂4《远古王座》mod！,游戏、娱乐、解压,3,4,2026/9/8 17:26
BV1Aj8DzzE42,这个数学模型（几乎）能预测宇宙万物,数学、数学模型、规律、哲学,4,4,2026/9/8 17:26
BV1qbfZYLEvJ,史上引用量最高的论文揭示了什么宇宙秘密？时空是源于量子纠缠吗？这就是它为什么可以超光速的原因,物理学、宇宙、量子力学、超光速、科幻想象、科普,4,5,2026/9/8 17:26
BV1wWfDYiEUi,【深度解析】自动驾驶烧了1000亿，发生了什么？,历史、回顾、汽车、自动驾驶,3,3,2026/9/8 17:26
BV1oC4y1k7iT,我们的上一秒去哪了？从狭义相对论到广义相对论，理解时间究竟是什么,科学、爱因斯坦、相对论、时间、科普,3,5,2026/9/8 17:26
BV18j411i7bp,什么代码让程序员之神感叹“卧槽”？改变游戏行业的平方根倒数算法,大神、计算机、算法、游戏、历史、编程,3,3,2026/9/8 17:26
BV1o7421K7pY,【挑战毕导】停机悖论三句话就能证明不完备性定理？,科普、数学、哲学、代码、设计,3,4,2026/9/8 17:26
BV1NCgVzoEG9,【闪客】一小时从函数到 Transformer,科普、人工智能、神经网络、教程,3,3,2026/9/8 17:26
BV1aPbv6bErh,土地的枷锁，后发国家的现代化困局,政治、经济、土地改革、历史、人文,4,3,2026/9/8 17:26
BV1D7i1BNEFG,诸子百家，知识垄断的崩塌。,读书、历史、人文、中国、古代,3,4,2026/9/8 17:26
BV1JhqVBFEC5,【邓小平】我送了几十万学生去西方留学——有人说我疯了，怕他们不回来,历史、读书、人文、邓小平、改革开放,3,4,2026/9/8 17:26
BV1HGyEBPE4W,大儒辩经指南：如何合理化资本在苏联的发展？,幻想、历史、人文、政治、马克思主义、资本主义、知识,4,4,2026/9/8 17:26
BV1zPbRzgEVn,做决定的能力，和不解释的勇气（万字解析）：五个阶段建立好主体性（上篇）,心理学、哲学、成长、主体性,5,3,2026/9/8 17:26
BV1xPgVzWETq,态度：我们赖以生存的最大bug【人性矩阵07】,心理学、元认知、态度,5,3,2026/9/8 17:26
BV1Zx4y1Z7w6,【鬼谷闲谈】香蕉：在修罗魔道中修成正果,历史、人文、植物学、科普,5,5,2026/9/8 17:26
BV1K541117a4,【硬核社会学】前后三十年，中国叙事和道路选择的矛盾,历史、方向、人文、政治、改革开放、中国,4,4,
BV1qKwFedEBm,米塔の小曲 有前奏无Rap版 前奏后纯音乐 Lightning moment,音乐、剪辑、娱乐、纯音乐,3,5,
BV13R3CzREac,手碟版《星际穿越》，请听完。（编曲是我的老师“朕日理万基逗号友”）我只是演奏的人。,音乐、纯音乐,2,4,
BV1N24y1U73t,时代，前进！（2022.12.11）,音乐、演奏、纯音乐、交响乐,2,5,
BV1C3ivBbEnF,谁中招了？,二次元、美少女、cosplay,5,2,
